0	1
[30]	N. T. Vo, R. C. Atwood, M. Drakopoulos, and T. Connolley, 'Data processing methods and data acquisition for samples larger than the field of view in parallel-beam tomography,' Optics Express , vol. 29, no. 12, pp. 17849-17874, 2021.
[31]	S. A. McDonald, F. Marone, C. Hinterm¨ uller, G. Mikuljan, C. David, F . Pfeiffer, and M. Stampanoni, 'Ad- vanced phase-contrast imaging using a grating interferometer,' Journal of synchrotron radiation , vol. 16, no. 4, pp. 562-572, 2009.
[32]	G. Wang, 'X-ray micro-ct with a displaced detector array,' Medical physics , vol. 29, no. 7, pp. 1634-1636, 2002.
[33]	E. Hansis, J. Bredno, D. Sowards-Emmerd, and L. Shao, 'Iterative reconstruction for circular cone-beam ct with an offset flat-panel detector,' in IEEE Nuclear Science Symposuim & Medical Imaging Conference , pp. 2228-2231, IEEE, 2010.
[34]	J. G. Sanctorum, S. Van Wassenbergh, V. Nguyen, J. De Beenhouwer, J. Sijbers, and J. J. Dirckx, 'Ex- tended imaging volume in cone-beam x-ray tomography using the weighted simultaneous iterative recon- struction technique,' Physics in Medicine & Biology , vol. 66, no. 16, p. 165008, 2021.
[35]	L. A. Feldkamp, L. C. Davis, and J. W. Kress, 'Practical cone-beam algorithm,' Josa a , vol. 1, no. 6, pp. 612-619, 1984.
[36]	Q. Lin, M. Yang, Q. Wu, B. Tang, and X. Zhang, 'A reconstruction method through projection data con- version under the displaced detector scanning for industrial cone-beam ct,' IEEE Transactions on Nuclear Science , vol. 66, no. 12, pp. 2364-2378, 2019.
[37]	G. Belotti, G. Fattori, G. Baroni, and S. Rit, 'Extension of the cone-beam ct field-of-view using two com- plementary short scans,' Medical Physics , 2023.
[38]	G. Belotti, S. Rit, and G. Baroni, 'Extension of the cone-beam ct field-of-view using two short scans with displaced centers of rotation,' in 7th International Conference on Image Formation in X-Ray Computed Tomography , vol. 12304, pp. 81-86, SPIE, 2022.
[39]	E. Dreier, A. Bergamaschi, G. K. Kallon, R. Br¨nnimann, U. L. Olsen, A. Olivo, and M. Endrizzi, 'Tracking o based, high-resolution single-shot multimodal x-ray imaging in the laboratory enabled by the sub-pixel resolution capabilities of the m¨nch detector,' o Applied Physics Letters , vol. 117, no. 26, 2020.
[40]	C. Navarrete-Le´ on, A. Doherty, S. Savvidis, M. F . Gerli, G. Piredda, A. Astolfo, D. Bate, S. Cipiccia, C. K. Hagen, A. Olivo, et al. , 'X-ray phase-contrast microtomography of soft tissues using a compact laboratory system with two-directional sensitivity,' Optica , vol. 10, no. 7, pp. 880-887, 2023.
[41]	G. Lioliou, C. Navarrete-Le´ on, A. Astolfo, S. Savvidis, D. Bate, M. Endrizzi, C. Hagen, and A. Olivo, 'A laboratory-based beam tracking x-ray imaging method achieving two-dimensional phase sensitivity and isotropic resolution with unidirectional undersampling,' Scientific Reports , vol. 13, no. 1, p. 8707, 2023.
[42]	K. S. Morgan, D. M. Paganin, and K. K. Siu, 'Quantitative single-exposure x-ray phase contrast imaging using a single attenuation grid,' Optics express , vol. 19, no. 20, pp. 19781-19789, 2011.
[43]	H. H. Wen, E. E. Bennett, R. Kopace, A. F . Stein, and V. Pai, 'Single-shot x-ray differential phase-contrast and diffraction imaging using two-dimensional transmission gratings,' Optics letters , vol. 35, no. 12, pp. 1932-1934, 2010.
[44]	K. S. Morgan, D. M. Paganin, and K. K. Siu, 'X-ray phase imaging with a paper analyzer,' Applied Physics Letters , vol. 100, no. 12, 2012.
[45]	S. B´ erujon, E. Ziegler, R. Cerbino, and L. Peverini, 'Two-dimensional x-ray beam phase sensing,' Physical review letters , vol. 108, no. 15, p. 158102, 2012.
[46]	Y. Kashyap, A. Agrawal, M. Shukla, H. Wang, and K. Sahwney, 'A comparative study of sub-sampling methods in x-ray speckle interferometry based phase contrast imaging using synchrotron radiation source,' Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment , vol. 1070, p. 170042, 2025.
[47]	M. Endrizzi, F . Vittoria, L. Rigon, D. Dreossi, F . Iacoviello, P . Shearing, and A. Olivo, 'X-ray phase-contrast radiography and tomography with a multiaperture analyzer,' Physical review letters , vol. 118, no. 24, p. 243902, 2017.
